ID,State,Region,Year,tax,T,c,K,E,mu,lam,D,Y,L,A,sigma,th1,pb,EL
3689,10,Middle East,2085,261.4485852038366,2.436233515782713,30.200704515954584,74.46797054284428,0.9885723345663172,0.5100703436739019,0.002750609319761565,0.018115987975072374,34.938491643786456,0.840242521676154,10.830039415155452,0.05775247114345234,0.01811609977362466,878.3187690817967,0.0
3690,10,Middle East,2095,313.1982862661066,2.586360862773015,34.2766707063137,88.46500496292138,0.9170819072136072,0.5777832218930534,0.003410782783563507,0.020021099519638288,41.157107767891986,0.8698899238692325,11.824652479331808,0.052774945090489786,0.015845730615641634,840.7028306277069,0.0
3691,10,Middle East,2105,359.5387615257985,2.7130712045553547,38.80625293713015,103.94717927647855,0.8281921250078883,0.6390537270528039,0.0039832595792987984,0.02170030745103963,47.26884433545471,0.8804961153592625,12.829861285267116,0.04854154000374691,0.013955132600711713,804.9676890963216,0.0
3692,10,Middle East,2115,420.1296740741018,2.8083547002642733,43.65866852233564,119.11842170344502,0.6781188029492481,0.7136907343047401,0.0048092835433056185,0.023006004940796396,52.738209986696205,0.8713529133471611,13.841904375282322,0.0449102009672938,0.012366654257540403,771.0193046415055,0.0
3693,10,Middle East,2125,494.8320763245227,2.8722463163579404,48.45229724829826,132.62162666838054,0.4838729091865362,0.800396749148278,0.0059084381578025395,0.023902189502259946,58.035820933464514,0.8623046556983294,14.857622349251796,0.041770297219515654,0.011020918969107113,738.7683394094302,0.0
3694,10,Middle East,2135,580.0211055755525,2.9028935345701212,53.31762169890931,145.65482641198082,0.2593537213885236,0.8950565448762826,0.007237496682967861,0.02433795258460176,63.311847320054184,0.8533503564964433,15.874438023664704,0.039034816280122765,0.009872043366022263,708.1299224389587,0.0
3695,10,Middle East,2145,595.6082661838259,2.9036950315883723,58.380646275011564,158.61633810218274,0.17651160817427852,0.9297700076169977,0.007245539660388586,0.02434940001998336,68.60537305842733,0.8444890400630799,16.89032250706794,0.036634689938394034,0.00888421881572487,679.0234263170107,0.0
3696,10,Middle East,2155,651.3722550011602,2.878582647765996,63.562802584120995,171.8749924372475,0.0,1.0,0.008029238365721142,0.023991970871331522,73.95206786981309,0.8357197408514057,17.903751944912816,0.03451462240125526,0.008029238365721142,651.3722550011602,0.0
3697,10,Middle East,2165,625.1036422511021,2.833291183315242,68.97812265686537,185.188270069017,0.0,1.0,0.007284687632226279,0.02335380665824539,79.3101382591511,0.827041503340968,18.91365886149691,0.03262998963944626,0.007284687632226279,625.1036422511021,0.0
3698,10,Middle East,2175,600.148460138547,2.778732210093296,74.55400976927545,198.87878157821658,0.0,1.0,0.006632607428035167,0.02259612819258993,84.71262543218984,0.8184533819335804,19.919381216402293,0.03094451128677594,0.006632607428035167,600.148460138547,0.0
3699,10,Middle East,2185,576.4410371316195,2.7216229259228517,80.25642422590984,212.72313755918356,0.0,1.0,0.006058495289729623,0.02181598748563337,90.1241555092618,0.8099544408502879,20.920611549055597,0.02942848568806801,0.006058495289729623,576.4410371316195,0.0
3700,10,Middle East,2195,553.9189852750386,2.6659425083682406,86.0668547396811,226.6157931785767,0.0,1.0,0.005550553030031808,0.021068123281227945,95.52655545088311,0.8015437540294027,21.917347935488618,0.028057439620655326,0.005550553030031808,553.9189852750386,0.0
3701,10,Middle East,2205,532.5230360112866,2.6138999667099387,91.76658503977686,240.49881599817598,0.0,1.0,0.005099114669532677,0.020380509056571596,101.44328671380408,0.799222055862639,22.90984793665603,0.026811086298976345,0.005099114669532677,532.5230360112866,0.0
3702,10,Middle East,2215,512.1968842107223,2.566576194155239,97.46418880620196,255.6829726916469,0.0,1.0,0.004696207864113554,0.019764794146258268,108.13334601369529,0.8029366274863553,23.898586276882398,0.025672514661585058,0.004696207864113554,512.1968842107223,0.0
3703,10,Middle East,2225,492.8870400001862,2.5243484461044394,103.42683767344796,272.8199457304938,0.0,1.0,0.004335215012663523,0.019223063847686347,115.17901607540132,0.8066684634513727,24.884216646242603,0.024627553679344622,0.004335215012663523,492.8870400001862,0.0
3704,10,Middle East,2235,474.54268800017684,2.487169413995543,109.53252698402089,290.8560493567632,0.0,1.0,0.004010609425855177,0.018752099596966835,122.44885920449735,0.8104176439977592,25.86753776027068,0.023664270204475913,0.004010609425855177,474.54268800017684,0.0
3705,10,Middle East,2245,457.11555360016797,2.4547491400072605,115.74371667605791,309.458040379143,0.0,1.0,0.00371774847154259,0.018346000454282856,129.90385316636537,0.8141842497385178,26.849463621256533,0.02277256951406308,0.00371774847154259,457.11555360016797,0.0
3706,10,Middle East,2255,228.55777680008399,2.4266720970765094,122.25437537448107,328.52611421807813,0.0,1.0,0.0017912297787797383,0.017997755486941314,137.53565499714287,0.8179683616613189,27.830997794514285,0.021943875420919058,0.0017912297787797383,228.55777680008399,0.0
3707,10,Middle East,2265,114.27888840004199,2.402471130230647,128.82126905599827,348.618711243838,0.0,1.0,0.0008640656332310488,0.0177001563073486,145.41931495268207,0.8217700611302423,28.813211428358272,0.02117087247626787,0.0008640656332310488,114.27888840004199,0.0
3708,10,Middle East,2275,57.139444200020996,2.381672837090463,135.42261083475847,369.0520858575048,0.0,1.0,0.00041726685132075,0.017446300984150034,153.47477381730823,0.8255894298875263,29.79722469751014,0.02044729696019113,0.00041726685132075,57.139444200020996,0.0
